GEN	1	<<	Narr_01: Genesis	#19		1	GENESIS *~*GENESIS 1
NUM	35	31	Narr_04: Numbers	#19		6120	" {31} ô 'Do not accept a ransom for the life of a murderer, who deserves to die. He must surely be put to death."
NUM	35	32	Narr_04: Numbers	#19		6121	 {32} ö 'Do not accept a ransom for anyonewho has fled to a city of refuge and so allow him to go back and live on his own land before the death of the high priest.
NUM	35	33	God-FX1	#20		6122	" {33} "" ' Do not pollute the land where you are. Bloodshed pollutes the land, and atonement cannot be made for the land on which blood has been shed, except by the blood of the one who shed it."
NUM	35	34	God-FX1	#20		6123	" {34} Do not defile the land where you live and where I dwell, for I, the Lord, dwell among the Israelites.' >>*~**~*||||| + 2 SECs |||||*~*"
NUM	36	<<	Narr_04: Numbers	#19		6124	NUMBERS 36
NUM	36	1	Narr_04: Numbers	#19		6125	" {1} The family heads of the clan of Gilead son of Makir, the son of Manasseh, who were from the clans of the descendants of Joseph, came and spoke before Moses and the leaders, the heads of the Israelite families. {2} They said,"
NUM	36	2	Elder	#11		6126	" << When the Lord commanded my lord to give the land as an inheritance to the Israelites by lot, he ordered you to give the inheritance of our brother Zelophehad to his daughters."
NUM	36	3	Elder	#11		6127	 {3} Now suppose they marry men from other Israelite tribes;
NUM	36	3	Elder	#11		6128	 then their inheritance will be taken from our ancestral inheritance and added to that of the tribe they marry into.
NUM	36	3	Elder	#11		6129	 And so part of the inheritance allotted to us will be taken away.
NUM	36	4	Elder	#11		6130	" {4} When the Year of Jubilee for the Israelites comes, their inheritance will be added to that of the tribe into which they marry,"
NUM	36	4	Elder	#11		6131	 and their property will be taken from the tribal inheritance of our forefathers.
NUM	36	5	Narr_04: Numbers	#19		6132	 {5} Then at the Lord's command Moses gave this order to the Israelites:
NUM	36	5	Moses	#01		6133	 << What the tribe of the descendants of Joseph is saying is right.
NUM	36	6	Moses	#01		6134	 {6} This is what the Lord commands for Zelophehad's daughters: They may marry anyone they please as long as they marry within the tribal clan of their father.
NUM	36	7	Moses	#01		6135	" {7} No inheritance in Israel is to pass from tribe to tribe, for every Israelite shall keep the tribal land inherited from his forefathers."
NUM	36	8	Moses	#01		6136	" {8} Every daughter who inherits land in any Israelite tribe must marry someone in her father's tribal clan, so that every Israelite will possess the inheritance of his fathers."
NUM	36	9	Moses	#01		6137	" {9} No inheritance may pass from tribe to tribe, for each Israelite tribe is to keep the land it inherits."""
NUM	36	10	Narr_04: Numbers	#19		6138	 {10} So Zelophehad's daughters did as the Lord commanded Moses.
NUM	36	11	Narr_04: Numbers	#19		6139	" {11} Zelophehad's daughters--Mahlah, Tirzah, Hoglah, Milcah and Noah--married their cousins on their father's side."
NUM	36	12	Narr_04: Numbers	#19		6140	" {12} They married within the clans of the descendants of Manasseh son of Joseph, and their inheritance remained in their father's clan and tribe."
NUM	36	13	Narr_04: Numbers	#19		6141	 {13} These are the commands and regulations the Lord gave through Moses to the Israelites on the plains of Moab by the Jordan across from Jericho.*~**~*||||| + 5 SECs |||||*~*
DEU	1	<<	Narr_05: Deuteronomy	#19		6142	DEUTERONOMY*~*DEUTERONOMY 1
DEU	1	1	Narr_05: Deuteronomy	#19		6143	 {1} These are the words Moses spoke to all Israel in the desert east of the Jordan --
DEU	1	1	Narr_05: Deuteronomy	#19		6144	" that is, in the Arabah --opposite Suph,"
DEU	1	1	Narr_05: Deuteronomy	#19		6145	" between Paran and Tophel, Laban, Hazeroth and Dizahab."
DEU	1	2	Narr_05: Deuteronomy	#19		6146	 {2} (It takes eleven days to go from Horeb to Kadesh Barnea by the Mount Seir road.)
DEU	1	3	Narr_05: Deuteronomy	#19		6147	" {3} In the fortieth year, on the first day of the eleventh month, Moses proclaimed to the Israelites all that the Lord had commanded him concerning them."
DEU	1	4	Narr_05: Deuteronomy	#19		6148	" {4} This was after he had defeated Sihon king of the Amorites, who reigned in Heshbon, and at Edrei had defeated Og king of Bashan, who reigned in Ashtaroth."
DEU	1	5	Narr_05: Deuteronomy	#19		6149	" {5} East of the Jordan in the territory of Moab, Moses began to expound this law, saying:"
DEU	1	6	Moses	#01		6150	" {6} The Lord our God said to us at Horeb, ôYou have stayed long enough at this mountain."
DEU	1	7	Moses	#01		6151	 {7} Break camp and advance into the hill country of the Amorites;
DEU	1	7	Moses	#01		6152	" go to all the neighboring peoples in the Arabah, in the mountains, in the western foothills, in the Negev and along the coast,"
DEU	1	7	Moses	#01		6153	" to the land of the Canaanites and to Lebanon, as far as the great river, the Euphrates."
DEU	1	8	Moses	#01		6154	" {8} See, I have given you this land. Go in and take possession of the land that the Lord swore he would give to your fathers--to Abraham, Isaac and Jacob--and to their descendants after them.ö"
DEU	1	9	Moses	#01		6155	" {9} At that time I said to you, ôYou are too heavy a burden for me to carry alone."
DEU	1	10	Moses	#01		6156	 {10} The Lord your God has increased your numbers so that today you are as many as the stars in the sky.
DEU	1	11	Moses	#01		6157	" {11} May the Lord, the God of your fathers, increase you a thousand times and bless you as he has promised!"
DEU	1	12	Moses	#01		6158	 {12} But how can I bear your problems and your burdens and your disputes all by myself?
DEU	1	13	Moses	#01		6159	" {13} Choose some wise, understanding and respected men from each of your tribes, and I will set them over you.ö {14} You answered me, ôWhat you propose to do is good.ö"
DEU	1	15	Moses	#01		6160	" {15} So I took the leading men of your tribes, wise and respected men, and appointed them to have authority over you--as commanders of thousands, of hundreds, of fifties and of tens and as tribal officials."
DEU	1	16	Moses	#01		6161	" {16} And I charged your judges at that time: Hear the disputes between your brothers and judge fairly, whether the case is between brother Israelites or between one of them and an alien."
DEU	1	17	Moses	#01		6162	" {17} Do not show partiality in judging; hear both small and great alike. Do not be afraid of any man, for judgment belongs to God. Bring me any case too hard for you, and I will hear it."
DEU	1	18	Moses	#01		6163	 {18} And at that time I told you everything you were to do.
DEU	1	19	Moses	#01		6164	" {19} Then, as the Lord our God commanded us, we set out from Horeb and went toward the hill country of the Amorites through all that vast and dreadful desert that you have seen, and so we reached Kadesh Barnea."
DEU	1	20	Moses	#01		6165	" {20} Then I said to you, ôYou have reached the hill country of the Amorites, which the Lord our God is giving us."
DEU	1	21	Moses	#01		6166	" {21} See, the Lord your God has given you the land. Go up and take possession of it as the Lord, the God of your fathers, told you. Do not be afraid; do not be discouraged.ö"
DEU	1	22	Moses	#01		6167	" {22} Then all of you came to me and said,"
DEU	1	22	Man	#03		6168	 << Let us send men ahead to spy out the land for us and bring back a report about the route we are to take and the towns we will come to.>>
DEU	1	23	Moses	#01		6169	" {23} The idea seemed good to me; so I selected twelve of you, one man from each tribe."
DEU	1	24	Moses	#01		6170	" {24} They left and went up into the hill country, and came to the Valley of Eshcol and explored it."
DEU	1	25	Moses	#01		6171	" {25} Taking with them some of the fruit of the land, they brought it down to us and reported,"
DEU	1	25	Joshua	#13		6172	 << It is a good land that the Lord our God is giving us.>>
DEU	1	26	Moses	#01		6173	" {26} But you were unwilling to go up; you rebelled against the command of the Lord your God. {27} You grumbled in your tents and said,"
DEU	1	27	Man	#14		6174	 öThe Lord hates us; so he brought us out of Egypt to deliver us into the hands of the Amorites to destroy us.
DEU	1	28	Man	#14		6175	 {28} Where can we go? Our brothers have made us lose heart.
DEU	1	28	Man	#14		6176	" They say, 'The people are stronger and taller than we are; the cities are large, with walls up to the sky. We even saw the Anakites there. ' """
DEU	1	29	Moses	#01		6177	" {29} Then I said to you, ôDo not be terrified; do not be afraid of them."
DEU	1	30	Moses	#01		6178	" {30} The Lord your God, who is going before you, will fight for you, as he did for you in Egypt, before your very eyes, {31} and in the desert."
DEU	1	31	Moses	#01		6179	" There you saw how the Lord your God carried you, as a father carries his son, all the way you went until you reached this place.ö"
DEU	1	32	Moses	#01		6180	" {32} In spite of this, you did not trust in the Lord your God, {33} who went ahead of you on your journey, in fire by night and in a cloud by day, to search out places for you to camp and to show you the way you should go."
DEU	1	34	Moses	#01		6181	" {34} When the Lord heard what you said, he was angry and solemnly swore:"
DEU	1	35	God-FX1	#20		6182	" {35} öNot a man of this evil generation shall see the good land I swore to give your forefathers, {36} except Caleb son of Jephunneh."
DEU	1	36	God-FX1	#20		6183	" He will see it, and I will give him and his descendants the land he set his feet on, because he followed the Lord wholeheartedly."""
DEU	1	37	Moses	#01		6184	" {37} Because of you the Lord became angry with me also and said,"
DEU	1	37	God-FX1	#20		6185	" << You shall not enter it, either. {38} But your assistant, Joshua son of Nun, will enter it. Encourage him, because he will lead Israel to inherit it."
DEU	1	39	God-FX1	#20		6186	" {39} And the little ones that you said would be taken captive, your children who do not yet know good from bad--they will enter the land. I will give it to them and they will take possession of it."
DEU	1	40	God-FX1	#20		6187	" {40} But as for you, turn around and set out toward the desert along the route to the Red Sea.>>"
DEU	1	41	Moses	#01		6188	" {41} Then you replied,"
DEU	1	41	Man	#04		6189	" << We have sinned against the Lord. We will go up and fight, as the Lord our God commanded us.>>"
DEU	1	41	Moses	#01		6190	" So every one of you put on his weapons, thinking it easy to go up into the hill country. {42} But the Lord said to me,"
DEU	1	42	God-FX1	#20		6191	" << Tell them, 'Do not go up and fight, because I will not be with you. You will be defeated by your enemies.' >>"
DEU	1	43	Moses	#01		6192	" {43} So I told you, but you would not listen. You rebelled against the Lord's command and in your arrogance you marched up into the hill country."
DEU	1	44	Moses	#01		6193	 {44} The Amorites who lived in those hills came out against you; they chased you like a swarm of bees and beat you down from Seir all the way to Hormah.
DEU	1	45	Moses	#01		6194	" {45} You came back and wept before the Lord, but he paid no attention to your weeping and turned a deaf ear to you."
DEU	1	46	Moses	#01		6195	 {46} And so you stayed in Kadesh many days--all the time you spent there. *~**~*||||| + 2 SECs |||||*~*
DEU	2	<<	Narr_05: Deuteronomy	#19		6196	DEUTERONOMY 2
DEU	2	1	Moses	#01		6197	" {1} Then we turned back and set out toward the desert along the route to the Red Sea, as the Lord had directed me."
DEU	2	1	Moses	#01		6198	" For a long time we made our way around the hill country of Seir. {2} Then the Lord said to me,"
DEU	2	3	God-FX1	#20		6199	 {3} öYou have made your way around this hill country long enough; now turn north.
DEU	2	4	God-FX1	#20		6200	" {4} Give the people these orders: 'You are about to pass through the territory of your brothers the descendants of Esau, who live in Seir. They will be afraid of you, but be very careful."
DEU	2	5	God-FX1	#20		6201	" {5} Do not provoke them to war, for I will not give you any of their land, not even enough to put your foot on. I have given Esau the hill country of Seir as his own."
DEU	2	6	God-FX1	#20		6202	" {6} You are to pay them in silver for the food you eat and the water you drink.' """
DEU	2	7	Moses	#01		6203	 {7} The Lord your God has blessed you in all the work of your hands. He has watched over your journey through this vast desert.
DEU	2	7	Moses	#01		6204	" These forty years the Lord your God has been with you, and you have not lacked anything."
DEU	2	8	Moses	#01		6205	" {8} So we went on past our brothers the descendants of Esau, who live in Seir."
DEU	2	8	Moses	#01		6206	" We turned from the Arabah road, which comes up from Elath and Ezion Geber, and traveled along the desert road of Moab."
DEU	2	9	Moses	#01		6207	" {9} Then the Lord said to me,"
DEU	2	9	God-FX1	#20		6208	" << Do not harass the Moabites or provoke them to war, for I will not give you any part of their land. I have given Ar to the descendants of Lot as a possession.>>"
DEU	2	10	Narr_05: Deuteronomy	#19		6209	" {10} (The Emites used to live there--a people strong and numerous, and as tall as the Anakites."
DEU	2	11	Narr_05: Deuteronomy	#19		6210	" {11} Like the Anakites, they too were considered Rephaites, but the Moabites called them Emites."
DEU	2	12	Narr_05: Deuteronomy	#19		6211	" {12} Horites used to live in Seir, but the descendants of Esau drove them out."
DEU	2	12	Narr_05: Deuteronomy	#19		6212	" They destroyed the Horites from before them and settled in their place, just as Israel did in the land the Lord gave them as their possession.)"
DEU	2	13	God-FX1	#20		6213	 {13} << Now get up and cross the Zered Valley.>>
DEU	2	13	Moses	#01		6214	 So we crossed the valley. {14} Thirty-eight years passed from the time we left Kadesh Barnea until we crossed the Zered Valley.
DEU	2	14	Moses	#01		6215	" By then, that entire generation of fighting men had perished from the camp, as the Lord had sworn to them."
DEU	2	15	Moses	#01		6216	 {15} The Lord's hand was against them until he had completely eliminated them from the camp.
DEU	2	16	Moses	#01		6217	" {16} Now when the last of these fighting men among the people had died, {17} the Lord said to me,"
DEU	2	18	God-FX1	#20		6218	 {18} << Today you are to pass by the region of Moab at Ar.
DEU	2	19	God-FX1	#20		6219	" {19} When you come to the Ammonites, do not harass them or provoke them to war, for I will not give you possession of any land belonging to the Ammonites."
DEU	2	19	God-FX1	#20		6220	 I have given it as a possession to the descendants of Lot.>>
DEU	2	20	Narr_05: Deuteronomy	#19		6221	" {20} (That too was considered a land of the Rephaites, who used to live there; but the Ammonites called them Zamzummites."
DEU	2	21	Narr_05: Deuteronomy	#19		6222	" {21} They were a people strong and numerous, and as tall as the Anakites. The Lord destroyed them from before the Ammonites, who drove them out and settled in their place."
DEU	2	22	Narr_05: Deuteronomy	#19		6223	" {22} The Lord had done the same for the descendants of Esau, who lived in Seir, when he destroyed the Horites from before them. They drove them out and have lived in their place to this day."
DEU	2	23	Narr_05: Deuteronomy	#19		6224	" {23} And as for the Avvites who lived in villages as far as Gaza, the Caphtorites coming out from Caphtor destroyed them and settled in their place.)"
DEU	2	24	God-FX1	#20		6225	" {24} << Set out now and cross the Arnon Gorge. See, I have given into your hand Sihon the Amorite, king of Heshbon, and his country. Begin to take possession of it and engage him in battle."
DEU	2	25	God-FX1	#20		6226	 {25} This very day I will begin to put the terror and fear of you on all the nations under heaven. They will hear reports of you and will tremble and be in anguish because of you.>>
DEU	2	26	Moses	#01		6227	" {26} From the desert of Kedemoth I sent messengers to Sihon king of Heshbon offering peace and saying,"
DEU	2	27	Messenger	#11		6228	 {27} << Let us pass through your country. We will stay on the main road; we will not turn aside to the right or to the left.
DEU	2	28	Messenger	#11		6229	 {28} Sell us food to eat and water to drink for their price in silver.
DEU	2	28	Messenger	#11		6230	" Only let us pass through on foot-- {29} as the descendants of Esau, who live in Seir, and the Moabites, who live in Ar, did for us--until we cross the Jordan into the land the Lord our God is giving us.>>"
DEU	2	30	Moses	#01		6231	 {30} But Sihon king of Heshbon refused to let us pass through.
DEU	2	30	Moses	#01		6232	" For the Lord your God had made his spirit stubborn and his heart obstinate in order to give him into your hands, as he has now done. {31} The Lord said to me,"
DEU	2	31	God-FX1	#20		6233	" << See, I have begun to deliver Sihon and his country over to you. Now begin to conquer and possess his land.>>"
DEU	2	32	Moses	#01		6234	" {32} When Sihon and all his army came out to meet us in battle at Jahaz, {33} the Lord our God delivered him over to us and we struck him down, together with his sons and his whole army."
DEU	2	34	Moses	#01		6235	" {34} At that time we took all his towns and completely destroyed them--men, women and children. We left no survivors."
DEU	2	35	Moses	#01		6236	 {35} But the livestock and the plunder from the towns we had captured we carried off for ourselves.
DEU	2	36	Moses	#01		6237	" {36} From Aroer on the rim of the Arnon Gorge, and from the town in the gorge, even as far as Gilead, not one town was too strong for us. The Lord our God gave us all of them."
DEU	2	37	Moses	#01		6238	" {37} But in accordance with the command of the Lord our God, you did not encroach on any of the land of the Ammonites, neither the land along the course of the Jabbok nor that around the towns in the hills. *~**~*||||| + 2 SECs |||||*~*"
DEU	3	<<	Narr_05: Deuteronomy	#19		6239	DEUTERONOMY 3
DEU	3	1	Moses	#01		6240	" {1} Next we turned and went up along the road toward Bashan, and Og king of Bashan with his whole army marched out to meet us in battle at Edrei."
DEU	3	2	Moses	#01		6241	" {2} The Lord said to me,"
DEU	3	2	God-FX1	#20		6242	" << Do not be afraid of him, for I have handed him over to you with his whole army and his land. Do to him what you did to Sihon king of the Amorites, who reigned in Heshbon .>>"
DEU	3	3	Moses	#01		6243	" {3} So the Lord our God also gave into our hands Og king of Bashan and all his army. We struck them down, leaving no survivors."
DEU	3	4	Moses	#01		6244	" {4} At that time we took all his cities. There was not one of the sixty cities that we did not take from them--the whole region of Argob, Og's kingdom in Bashan."
DEU	3	5	Moses	#01		6245	" {5} All these cities were fortified with high walls and with gates and bars, and there were also a great many unwalled villages."
DEU	3	6	Moses	#01		6246	" {6} We completely destroyed them, as we had done with Sihon king of Heshbon, destroying every city--men, women and children."
DEU	3	7	Moses	#01		6247	 {7} But all the livestock and the plunder from their cities we carried off for ourselves.
DEU	3	8	Moses	#01		6248	" {8} So at that time we took from these two kings of the Amorites the territory east of the Jordan, from the Arnon Gorge as far as Mount Hermon ."
DEU	3	9	Narr_05: Deuteronomy	#19		6249	 {9} (Hermon is called Sirion by the Sidonians; the Amorites call it Senir.)
DEU	3	10	Moses	#01		6250	" {10} We took all the towns on the plateau, and all Gilead, and all Bashan as far as Salecah and Edrei, towns of Og's kingdom in Bashan ."
DEU	3	11	Narr_05: Deuteronomy	#19		6251	 {11} (Only Og king of Bashan was left of the remnant of the Rephaites. His bed was made of iron and was more than thirteen feet long and six feet wide. It is still in Rabbah of the Ammonites.)
DEU	3	12	Moses	#01		6252	" {12} Of the land that we took over at that time, I gave the Reubenites and the Gadites the territory north of Aroer by the Arnon Gorge, including half the hill country of Gilead, together with its towns."
DEU	3	13	Moses	#01		6253	" {13} The rest of Gilead and also all of Bashan, the kingdom of Og, I gave to the half tribe of Manasseh ."
DEU	3	13	Narr_05: Deuteronomy	#19		6254	 (The whole region of Argob in Bashan used to be known as a land of the Rephaites.
DEU	3	14	Narr_05: Deuteronomy	#19		6255	" {14} Jair, a descendant of Manasseh, took the whole region of Argob as far as the border of the Geshurites and the Maacathites;"
DEU	3	14	Narr_05: Deuteronomy	#19		6256	" it was named after him, so that to this day Bashan is called Havvoth Jair .)"
DEU	3	15	Moses	#01		6257	 {15} And I gave Gilead to Makir.
DEU	3	16	Moses	#01		6258	" {16} But to the Reubenites and the Gadites I gave the territory extending from Gilead down to the Arnon Gorge (the middle of the gorge being the border) and out to the Jabbok River, which is the border of the Ammonites."
DEU	3	17	Moses	#01		6259	" {17} Its western border was the Jordan in the Arabah, from Kinnereth to the Sea of the Arabah (the Salt Sea) , below the slopes of Pisgah."
DEU	3	18	Moses	#01		6260	 {18} I commanded you at that time: ôThe Lord your God has given you this land to take possession of it.
DEU	3	18	Moses	#01		6261	" But all your able-bodied men, armed for battle, must cross over ahead of your brother Israelites."
DEU	3	19	Moses	#01		6262	" {19} However, your wives, your children and your livestock (I know you have much livestock) may stay in the towns I have given you,"
DEU	3	20	Moses	#01		6263	" {20} until the Lord gives rest to your brothers as he has to you, and they too have taken over the land that the Lord your God is giving them, across the Jordan."
DEU	3	20	Moses	#01		6264	" After that, each of you may go back to the possession I have given you.ö"
DEU	3	21	Moses	#01		6265	 {21} At that time I commanded Joshua: ôYou have seen with your own eyes all that the Lord your God has done to these two kings.
DEU	3	21	Moses	#01		6266	 The Lord will do the same to all the kingdoms over there where you are going.
DEU	3	22	Moses	#01		6267	 {22} Do not be afraid of them; the Lord your God himself will fight for you.ö {23} At that time I pleaded with the Lord:
DEU	3	24	Moses	#01		6268	" {24} ôO Sovereign Lord, you have begun to show to your servant your greatness and your strong hand. For what god is there in heaven or on earth who can do the deeds and mighty works you do?"
DEU	3	25	Moses	#01		6269	" {25} Let me go over and see the good land beyond the Jordan --that fine hill country and Lebanon .ö {26} But because of you the Lord was angry with me and would not listen to me. The Lord said,"
DEU	3	26	God-FX1	#20		6270	 << That is enough. Do not speak to me anymore about this matter.
DEU	3	27	God-FX1	#20		6271	" {27} Go up to the top of Pisgah and look west and north and south and east. Look at the land with your own eyes, since you are not going to cross this Jordan."
DEU	3	28	God-FX1	#20		6272	" {28} But commission Joshua, and encourage and strengthen him, for he will lead this people across and will cause them to inherit the land that you will see.>>"
DEU	3	29	Moses	#01		6273	 {29} So we stayed in the valley near Beth Peor. *~**~*||||| + 2 SECs |||||*~*
DEU	4	<<	Narr_05: Deuteronomy	#19		6274	DEUTERONOMY 4
DEU	4	1	Moses	#01		6275	" {1} Hear now, O Israel, the decrees and laws I am about to teach you."
DEU	4	1	Moses	#01		6276	" Follow them so that you may live and may go in and take possession of the land that the Lord, the God of your fathers, is giving you."
DEU	4	2	Moses	#01		6277	" {2} Do not add to what I command you and do not subtract from it, but keep the commands of the Lord your God that I give you."
DEU	4	3	Moses	#01		6278	 {3} You saw with your own eyes what the Lord did at Baal Peor.
DEU	4	3	Moses	#01		6279	" The Lord your God destroyed from among you everyone who followed the Baal of Peor, {4} but all of you who held fast to the Lord your God are still alive today."
DEU	4	5	Moses	#01		6280	" {5} See, I have taught you decrees and laws as the Lord my God commanded me, so that you may follow them in the land you are entering to take possession of it."
DEU	4	6	Moses	#01		6281	" {6} Observe them carefully, for this will show your wisdom and understanding to the nations, who will hear about all these decrees and say,"
DEU	4	6	Nation	#16		6282	 << Surely this great nation is a wise and understanding people.>>
DEU	4	7	Moses	#01		6283	 {7} What other nation is so great as to have their gods near them the way the Lord our God is near us whenever we pray to him?
DEU	4	8	Moses	#01		6284	 {8} And what other nation is so great as to have such righteous decrees and laws as this body of laws I am setting before you today?
DEU	4	9	Moses	#01		6285	" {9} Only be careful, and watch yourselves closely so that you do not forget the things your eyes have seen or let them slip from your heart as long as you live."
DEU	4	9	Moses	#01		6286	 Teach them to your children and to their children after them.
DEU	4	10	Moses	#01		6287	" {10} Remember the day you stood before the Lord your God at Horeb, when he said to me,"
DEU	4	10	God-FX1	#20		6288	 << Assemble the people before me to hear my words so that they may learn to revere me as long as they live in the land and may teach them to their children.>>
DEU	4	11	Moses	#01		6289	" {11} You came near and stood at the foot of the mountain while it blazed with fire to the very heavens, with black clouds and deep darkness."
DEU	4	12	Moses	#01		6290	 {12} Then the Lord spoke to you out of the fire. You heard the sound of words but saw no form; there was only a voice.
DEU	4	13	Moses	#01		6291	" {13} He declared to you his covenant, the Ten Commandments, which he commanded you to follow and then wrote them on two stone tablets."
DEU	4	14	Moses	#01		6292	 {14} And the Lord directed me at that time to teach you the decrees and laws you are to follow in the land that you are crossing the Jordan to possess.
DEU	4	15	Moses	#01		6293	 {15} You saw no form of any kind the day the Lord spoke to you at Horeb out of the fire.
DEU	4	15	Moses	#01		6294	" Therefore watch yourselves very carefully, {16} so that you do not become corrupt and make for yourselves an idol, an image of any shape, whether formed like a man or a woman,"
DEU	4	17	Moses	#01		6295	" {17} or like any animal on earth or any bird that flies in the air, {18} or like any creature that moves along the ground or any fish in the waters below."
DEU	4	19	Moses	#01		6296	" {19} And when you look up to the sky and see the sun, the moon and the stars--all the heavenly array--do not be enticed into bowing down to them and worshiping things the Lord your God has apportioned to all the nations under heaven."
DEU	4	20	Moses	#01		6297	" {20} But as for you, the Lord took you and brought you out of the iron-smelting furnace, out of Egypt, to be the people of his inheritance, as you now are."
DEU	4	21	Moses	#01		6298	" {21} The Lord was angry with me because of you, and he solemnly swore that I would not cross the Jordan and enter the good land the Lord your God is giving you as your inheritance."
DEU	4	22	Moses	#01		6299	 {22} I will die in this land; I will not cross the Jordan; but you are about to cross over and take possession of that good land.
DEU	4	23	Moses	#01		6300	 {23} Be careful not to forget the covenant of the Lord your God that he made with you; do not make for yourselves an idol in the form of anything the Lord your God has forbidden.
DEU	4	24	Moses	#01		6301	" {24} For the Lord your God is a consuming fire, a jealous God."
DEU	4	25	Moses	#01		6302	 {25} After you have had children and grandchildren and have lived in the land a long time--
DEU	4	25	Moses	#01		6303	" if you then become corrupt and make any kind of idol, doing evil in the eyes of the Lord your God and provoking him to anger,"
DEU	4	26	Moses	#01		6304	 {26} I call heaven and earth as witnesses against you this day that you will quickly perish from the land that you are crossing the Jordan to possess.
DEU	4	26	Moses	#01		6305	 You will not live there long but will certainly be destroyed.
DEU	4	27	Moses	#01		6306	" {27} The Lord will scatter you among the peoples, and only a few of you will survive among the nations to which the Lord will drive you."
DEU	4	28	Moses	#01		6307	" {28} There you will worship man-made gods of wood and stone, which cannot see or hear or eat or smell."
DEU	4	29	Moses	#01		6308	" {29} But if from there you seek the Lord your God, you will find him if you look for him with all your heart and with all your soul."
DEU	4	30	Moses	#01		6309	" {30} When you are in distress and all these things have happened to you, then in later days you will return to the Lord your God and obey him."
DEU	4	31	Moses	#01		6310	" {31} For the Lord your God is a merciful God; he will not abandon or destroy you or forget the covenant with your forefathers, which he confirmed to them by oath."
DEU	4	32	Moses	#01		6311	" {32} Ask now about the former days, long before your time, from the day God created man on the earth; ask from one end of the heavens to the other."
DEU	4	32	Moses	#01		6312	" Has anything so great as this ever happened, or has anything like it ever been heard of?"
DEU	4	33	Moses	#01		6313	" {33} Has any other people heard the voice of God speaking out of fire, as you have, and lived?"
DEU	4	34	Moses	#01		6314	" {34} Has any god ever tried to take for himself one nation out of another nation, by testings, by miraculous signs and wonders, "
DEU	4	34	Moses	#01		6315	" by war, by a mighty hand and an outstretched arm, or by great and awesome deeds, like all the things the Lord your God did for you in Egypt before your very eyes?"
DEU	4	35	Moses	#01		6316	 {35} You were shown these things so that you might know that the Lord is God; besides him there is no other.
DEU	4	36	Moses	#01		6317	" {36} From heaven he made you hear his voice to discipline you. On earth he showed you his great fire, and you heard his words from out of the fire."
DEU	4	37	Moses	#01		6318	" {37} Because he loved your forefathers and chose their descendants after them, he brought you out of Egypt by his Presence and his great strength,"
DEU	4	38	Moses	#01		6319	" {38} to drive out before you nations greater and stronger than you and to bring you into their land to give it to you for your inheritance, as it is today."
DEU	4	39	Moses	#01		6320	 {39} Acknowledge and take to heart this day that the Lord is God in heaven above and on the earth below. There is no other.
DEU	4	40	Moses	#01		6321	" {40} Keep his decrees and commands, which I am giving you today, so that it may go well with you and your children after you and that you may live long in the land the Lord your God gives you for all time."
DEU	4	41	Narr_05: Deuteronomy	#19		6322	" {41} Then Moses set aside three cities east of the Jordan, {42} to which anyone who had killed a person could flee if he had unintentionally killed his neighbor without malice aforethought."
DEU	4	42	Narr_05: Deuteronomy	#19		6323	 He could flee into one of these cities and save his life.
DEU	4	43	Narr_05: Deuteronomy	#19		6324	" {43} The cities were these: Bezer in the desert plateau, for the Reubenites; Ramoth in Gilead, for the Gadites; and Golan in Bashan, for the Manassites."
DEU	4	44	Narr_05: Deuteronomy	#19		6325	 {44} This is the law Moses set before the Israelites.
DEU	4	45	Narr_05: Deuteronomy	#19		6326	" {45} These are the stipulations, decrees and laws Moses gave them when they came out of Egypt {46} and were in the valley near Beth Peor east of the Jordan,"
DEU	4	46	Narr_05: Deuteronomy	#19		6327	" in the land of Sihon king of the Amorites, who reigned in Heshbon and was defeated by Moses and the Israelites as they came out of Egypt."
DEU	4	47	Narr_05: Deuteronomy	#19		6328	" {47} They took possession of his land and the land of Og king of Bashan, the two Amorite kings east of the Jordan."
DEU	4	48	Narr_05: Deuteronomy	#19		6329	" {48} This land extended from Aroer on the rim of the Arnon Gorge to Mount Siyon (that is, Hermon) ,"
DEU	4	49	Narr_05: Deuteronomy	#19		6330	" {49} and included all the Arabah east of the Jordan, as far as the Sea of the Arabah, below the slopes of Pisgah . *~**~*||||| + 2 SECs |||||*~*"
DEU	5	<<	Narr_05: Deuteronomy	#19		6331	DEUTERONOMY 5
DEU	5	1	Narr_05: Deuteronomy	#19		6332	 {1} Moses summoned all Israel and said:
DEU	5	1	Moses	#01		6333	" Hear, O Israel, the decrees and laws I declare in your hearing today. Learn them and be sure to follow them."
DEU	5	2	Moses	#01		6334	" {2} The Lord our God made a covenant with us at Horeb. {3} It was not with our fathers that the Lord made this covenant, but with us, with all of us who are alive here today."
DEU	5	4	Moses	#01		6335	 {4} The Lord spoke to you face to face out of the fire on the mountain.
DEU	5	5	Moses	#01		6336	" {5} (At that time I stood between the Lord and you to declare to you the word of the Lord, because you were afraid of the fire and did not go up the mountain.) And he said:"
DEU	5	6	God-FX1	#20		6337	" {6} << I am the Lord your God, who brought you out of Egypt, out of the land of slavery. {7} öYou shall have no other gods before me."
DEU	5	8	God-FX1	#20		6338	 {8} öYou shall not make for yourself an idol in the form of anything in heaven above or on the earth beneath or in the waters below. {9} You shall not bow down to them or worship them;
DEU	5	9	God-FX1	#20		6339	" for I, the Lord your God, am a jealous God, punishing the children for the sin of the fathers to the third and fourth generation of those who hate me,"
